"id";"code";"name";"image";"level";"lv1_code";"lv1_name";"lv2_code";"lv2_name";"pinyin";"remark";"sub_cats"
"50";"020210";"速食料理";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/39bf9dbb-6feb-3d81-849a-0d767a61bf20_ori.jpg";"3";"02";"食品类";"0202";"方便速食";"020210shipinleifangbiansushisushiliaoli";"速食面，速食菜，速食米线，速食米饭，速食汤粥，挂面，干面条";""
"160";"041803";"烟辅用品";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/c423859c-2023-37dc-ad57-ad47853bd0a5_ori.jpg";"3";"04";"生活百货";"0418";"家庭日用";"041803shenghuobaihuojiatingriyongyanfuyongpin";"打火机，打火机油，烟嘴，烟灰缸";""
"175";"05";"自采加工";"";"1";"";"";"";"";"05zicaijiagong";"";""
"174";"04";"生活百货";"";"1";"";"";"";"";"04shenghuobaihuo";"";""
"173";"03";"日化清洁";"";"1";"";"";"";"";"03rihuaqingji";"";""
"172";"02";"食品类";"";"1";"";"";"";"";"02shipinlei";"";""
"171";"01";"饮品类";"";"1";"";"";"";"";"01yinpinlei";"";""
"165";"041808";"居家用具";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/5b2c9cb6-93bc-35fc-9c05-9b7ba8d8017f_ori.jpg";"3";"04";"生活百货";"0418";"家庭日用";"041808shenghuobaihuojiatingriyongjujiayongju";"数据线，雨伞，雨披，杯子，水壶，口罩，皂盒，牙具盒等";""
"421";"060101";"国产香烟";"";"3";"06";"特殊品类";"0601";"香烟";"060101teshupinleixiangyanguochanxiangyan";"";""
"406";"050306";"外采干货";"";"3";"05";"自采加工";"0503";"外采类";"050306zicaijiagongwaicaileiwaicaiganhuo";"坚果炒货";""
"405";"050305";"外采熟食";"";"3";"05";"自采加工";"0503";"外采类";"050305zicaijiagongwaicaileiwaicaishushi";"鸭脖，香肠";""
"403";"050303";"生鲜肉食";"";"3";"05";"自采加工";"0503";"外采类";"050303zicaijiagongwaicaileishengxianroushi";"牛肉，猪肉，排骨，鸡腿，鸡翅等";""
"402";"050302";"水果";"";"3";"05";"自采加工";"0503";"外采类";"050302zicaijiagongwaicaileishuiguo";"";""
"401";"050301";"蔬菜";"";"3";"05";"自采加工";"0503";"外采类";"050301zicaijiagongwaicaileishucai";"";""
"400";"0503";"外采类";"";"2";"05";"自采加工";"";"";"0503zicaijiagongwaicailei";"";""
"385";"050205";"冰激凌";"";"3";"05";"自采加工";"0502";"加工饮品";"050205zicaijiagongjiagongyinpinbingjiling";"";""
"384";"050204";"咖啡奶茶";"";"3";"05";"自采加工";"0502";"加工饮品";"050204zicaijiagongjiagongyinpinkafeinaicha";"";""
"383";"050203";"谷物浓浆";"";"3";"05";"自采加工";"0502";"加工饮品";"050203zicaijiagongjiagongyinpinguwunongjiang";"豆浆";""
"382";"050202";"碳酸";"";"3";"05";"自采加工";"0502";"加工饮品";"050202zicaijiagongjiagongyinpintansuan";"";""
"381";"050201";"果汁";"";"3";"05";"自采加工";"0502";"加工饮品";"050201zicaijiagongjiagongyinpinguozhi";"";""
"364";"050104";"面点主食";"";"3";"05";"自采加工";"0501";"加工热食";"050104zicaijiagongjiagongreshimiandianzhushi";"包子，手抓饼，面包，粥，煎饼";""
"363";"050103";"卤煮类";"";"3";"05";"自采加工";"0501";"加工热食";"050103zicaijiagongjiagongreshiluzhulei";"关东煮，茶叶蛋，玉米";""
"362";"050102";"炸制品";"";"3";"05";"自采加工";"0501";"加工热食";"050102zicaijiagongjiagongreshizhazhipin";"炸串";""
"361";"050101";"烤制品";"";"3";"05";"自采加工";"0501";"加工热食";"050101zicaijiagongjiagongreshikaozhipin";"烤肠";""
"345";"042002";"家装软饰";"";"3";"04";"生活百货";"0420";"家具家装";"042002shenghuobaihuojiajujiazhuangjiazhuangruanshi";"装饰字画，摆件，十字绣，相框，照片墙，墙贴，装饰贴，花盆，花瓶，隔断，家庭饰品";""
"342";"041902";"宠物用具";"";"3";"04";"生活百货";"0419";"宠物用品";"041902shenghuobaihuochongwuyongpinchongwuyongju";"";""
"341";"041901";"宠物食品";"";"3";"04";"生活百货";"0419";"宠物用品";"041901shenghuobaihuochongwuyongpinchongwushipin";"猫粮，猫沙，狗粮，鸟食，鱼饲料，动物饼干等";""
"313";"041812";"医药箱类";"";"3";"04";"生活百货";"0418";"家庭日用";"041812shenghuobaihuojiatingriyongyiyaoxianglei";"家庭常备的OTC药品，创可贴，卫生棉球，泡腾片，云南白药等";""
"422";"060102";"进口香烟";"";"3";"06";"特殊品类";"0601";"香烟";"060102teshupinleixiangyanjinkouxiangyan";"";""
"300";"030903";"光亮剂";"";"3";"03";"日化清洁";"0309";"家用清洁";"030903rihuaqingjijiayongqingjiguangliangji";"皮革，金属，皮鞋，家具上光剂，地板蜡等";""
"292";"030810";"女士卫生用品";"";"3";"03";"日化清洁";"0308";"生活用纸";"030810rihuaqingjishenghuoyongzhinvshiweishengyongpin";"卫生巾，卫生棉等";""
"291";"030809";"纸尿裤";"";"3";"03";"日化清洁";"0308";"生活用纸";"030809rihuaqingjishenghuoyongzhizhiniaoku";"纸尿裤，纸尿垫";""
"302";"030905";"驱虫剂";"";"3";"03";"日化清洁";"0309";"家用清洁";"030905rihuaqingjijiayongqingjiquchongji";"蚊香片，蚊香液，喷雾杀虫剂，香薰贴等";""
"90";"020312";"干货类";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/72f52800-230a-3e37-88e2-6808ddbb0be1_ori.jpg";"3";"02";"食品类";"0203";"粮油调味";"020312shipinleiliangyoudiaoweiganhuolei";"香料类，可食用的干货，如干海带";""
"83";"020305";"味精鸡精";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/0c173a7e-efe7-3618-bbcb-63ed8bf72c10_ori.jpg";"3";"02";"食品类";"0203";"粮油调味";"020305shipinleiliangyoudiaoweiweijingjijing";"";""
"78";"010408";"黄酒";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/006dda72-93f9-366d-a23d-95ace59d1ec1_ori.jpg";"3";"01";"饮品类";"0104";"酒类";"010408yinpinleijiuleihuangjiu";"";""
"77";"010407";"预调酒";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/9150330e-a759-33b7-8392-a99db273d03a_ori.jpg";"3";"01";"饮品类";"0104";"酒类";"010407yinpinleijiuleiyudiaojiu";"鸡尾酒等调味酒";""
"75";"010405";"米酒";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/64ec2572-cf0c-3a97-92a7-3d3845299ac2_ori.jpg";"3";"01";"饮品类";"0104";"酒类";"010405yinpinleijiuleimijiu";"";""
"74";"010404";"白酒";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/f0c31d0d-66f3-3293-a1e5-27a40b781d50_ori.jpg";"3";"01";"饮品类";"0104";"酒类";"010404yinpinleijiuleibaijiu";"";""
"48";"020208";"罐头食品";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/6454cd62-1a63-311b-805c-5807e2b7bd60_ori.jpg";"3";"02";"食品类";"0202";"方便速食";"020208shipinleifangbiansushiguantoushipin";"各种罐头和八宝粥";""
"40";"020111";"果冻布丁";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/c3f0003a-5eba-3d27-83f3-64f1100e2ba1_ori.jpg";"3";"02";"食品类";"0201";"休闲食品";"020111shipinleixiuxianshipinguodongbuding";"";""
"36";"020107";"风味素食";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/e94eb3b6-e7ef-3e27-af73-1238b18ad545_ori.jpg";"3";"02";"食品类";"0201";"休闲食品";"020107shipinleixiuxianshipinfengweisushi";"豆腐干";""
"35";"020106";"肉干肉脯";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/06667dee-7d71-3b58-a334-64f66d531d52_ori.jpg";"3";"02";"食品类";"0201";"休闲食品";"020106shipinleixiuxianshipinrouganroufu";"";""
"34";"020105";"膨化食品";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/6c8b3c01-0c3a-3186-b393-a299c6ef1cdc_ori.jpg";"3";"02";"食品类";"0201";"休闲食品";"020105shipinleixiuxianshipinpenghuashipin";"薯片，薯條，山藥片，玉米片，威化等";""
"33";"020104";"饼干";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/ee2ade15-08c2-30d8-bfb1-c536fab758f0_ori.jpg";"3";"02";"食品类";"0201";"休闲食品";"020104shipinleixiuxianshipinbinggan";"饼干，曲奇";""
"31";"020102";"口香糖";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/db0e63b6-2602-3465-94cf-cfd9616deea8_ori.jpg";"3";"02";"食品类";"0201";"休闲食品";"020102shipinleixiuxianshipinkouxiangtang";"";""
"290";"030808";"吸水纸";"";"3";"03";"日化清洁";"0308";"生活用纸";"030808rihuaqingjishenghuoyongzhixishuizhi";"";""
"164";"041807";"一次性用品";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/38952230-6368-31d6-95d0-5a1053d970ff_ori.jpg";"3";"04";"生活百货";"0418";"家庭日用";"041807shenghuobaihuojiatingriyongyicixingyongpin";"一次性筷子，牙签，棉签，手套，一次性暖宝宝等";""
"158";"041801";"家居电器";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/56679924-7960-32c6-bb81-5fb9344c3b13_ori.jpg";"3";"04";"生活百货";"0418";"家庭日用";"041801shenghuobaihuojiatingriyongjiajudianqi";"加湿器，热水器等小型电器，电动牙刷，电动剃须刀，充电宝，电池，插线板，手电";""
"135";"030103";"沐浴护肤";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/4774938a-5d03-397e-a07d-80359bcec9a7_ori.jpg";"3";"03";"日化清洁";"0301";"美妆洗护";"030103rihuaqingjimeizhuangxihumuyuhufu";"香皂，沐浴露，香波，身体乳，护手霜，洗手液，洗液，爽身粉(通用)，痱子粉(通用)等";""
"110";"030902";"洗衣类";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/2a1836b1-b4e6-32f6-a689-f4915f51bd04_ori.jpg";"3";"03";"日化清洁";"0309";"家用清洁";"030902rihuaqingjijiayongqingjixiyilei";"洗衣粉，洗衣液，柔顺剂，衣领净，专用衣物洗涤等";""
"101";"020311";"五谷杂粮";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/862c0992-b21f-32f3-98af-a09b0c6011e2_ori.jpg";"3";"02";"食品类";"0203";"粮油调味";"020311shipinleiliangyoudiaoweiwuguzaliang";"米谷类，面粉类，杂粮等";""
"91";"020301";"食用油";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/96723811-1d7b-395f-b327-29b0a5d8b241_ori.jpg";"3";"02";"食品类";"0203";"粮油调味";"020301shipinleiliangyoudiaoweishiyongyou";"调和油，非调和油，橄榄油，色拉油等";""
"41";"020201";"腌制品类";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/c2bbaac5-5fe6-3f35-8322-02a55e8e88ef_ori.jpg";"3";"02";"食品类";"0202";"方便速食";"020201shipinleifangbiansushiyanzhipinlei";"酱菜，腌制蔬菜，腌制肉类，腌制水产类等";""
"88";"020310";"调味盐类";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/30e8ecc5-0735-3a0d-af27-270a74e9a8ed_ori.jpg";"3";"02";"食品类";"0203";"粮油调味";"020310shipinleiliangyoudiaoweidiaoweiyanlei";"";""
"30";"020101";"果干蜜饯";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/5f825bb3-2569-34c6-be4c-8e67e71d160f_ori.jpg";"3";"02";"食品类";"0201";"休闲食品";"020101shipinleixiuxianshipinguoganmijian";"";""
"26";"010106";"碳酸饮料";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/22899ca4-24aa-3fcc-ae1f-be1bd79f6851_ori.jpg";"3";"01";"饮品类";"0101";"饮料类";"010106yinpinleiyinliaoleitansuanyinliao";"";""
"23";"010103";"即饮咖啡";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/929bb07a-e70d-39ca-853d-0b3f112b3b73_ori.jpg";"3";"01";"饮品类";"0101";"饮料类";"010103yinpinleiyinliaoleijiyinkafei";"浓缩咖啡，马琪雅朵， 美式咖啡，白咖啡，康宝蓝， 摩卡咖啡，卡布奇诺，拿铁咖啡，焦糖玛琪朵，维也纳咖啡， 爱尔兰咖啡， 盐咖啡";""
"5";"0202";"方便速食";"";"2";"02";"食品类";"";"";"0202shipinleifangbiansushi";"";""
"49";"020209";"速冻食品";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/88c11ba8-a6a0-371d-aaba-7355990767d8_ori.jpg";"3";"02";"食品类";"0202";"方便速食";"020209shipinleifangbiansushisudongshipin";"冷冻肉，冷冻蔬菜，冷冻面点，冷冻熟食，禽类产品等";""
"301";"030904";"室内除臭剂";"";"3";"03";"日化清洁";"0309";"家用清洁";"030904rihuaqingjijiayongqingjishineichuchouji";"清新剂，清新盒，干燥剂等";""
"284";"030107";"婴童洗护";"";"3";"03";"日化清洁";"0301";"美妆洗护";"030107rihuaqingjimeizhuangxihuyingtongxihu";"婴儿，儿童专用洗护";""
"282";"030105";"洗护工具";"";"3";"03";"日化清洁";"0301";"美妆洗护";"030105rihuaqingjimeizhuangxihuxihugongju";"手工剃须刀，刀片等（男用，女用），剃须泡，耳挖，鼻毛剪，去死皮刀，指甲刀，梳子，暗疮针，洗脸扑，沐浴花，拉背条，洗澡巾等";""
"234";"010304";"五谷冲调类";"";"3";"01";"饮品类";"0103";"冲饮类";"010304yinpinleichongyinleiwuguchongdiaolei";"黑芝麻糊，麦片，燕麦，豆浆粉，豆奶粉，豆粉，五谷米粉，核桃粉";""
"233";"010303";"营养保健类";"";"3";"01";"饮品类";"0103";"冲饮类";"010303yinpinleichongyinleiyingyangbaojianlei";"减肥，滋补，补血养颜，减脂增肌，蜂蜜，补钙，滋补红糖，秋梨膏，生姜，姜，莲子，龟苓膏，胶，蜜，营养，葡萄糖，花粉，牛骨";""
"166";"041809";"厨房用具";"https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/3aa0015b-41d2-3181-a016-a42557ce99cb_ori.jpg";"3";"04";"生活百货";"0418";"家庭日用";"041809shenghuobaihuojiatingriyongchufangyongju";"锅碗瓢铲，调料盒，保鲜膜，削皮器，厨房用纸";""
